0 0 0
9.71331e-10 0 0
1.94195e-09 -3.71873e-11 0
2.91043e-09 -1.11507e-10 0
3.87536e-09 -2.22851e-10 0
4.83532e-09 -3.71056e-10 0
5.7889e-09 -5.55903e-10 0
6.7347e-09 -7.77123e-10 0
7.67135e-09 -1.03439e-09 0
8.59745e-09 -1.32733e-09 0
9.51166e-09 -1.65551e-09 0
1.04126e-08 -2.01845e-09 0
1.12991e-08 -2.41561e-09 0
1.21696e-08 -2.84643e-09 0
1.30231e-08 -3.31025e-09 0
1.38581e-08 -3.80641e-09 0
1.46736e-08 -4.33418e-09 0
1.54682e-08 -4.89277e-09 0
1.62409e-08 -5.48139e-09 0
1.69904e-08 -6.09915e-09 0
1.77158e-08 -6.74515e-09 0
1.84159e-08 -7.41845e-09 0
1.90897e-08 -8.11807e-09 0
1.97363e-08 -8.84296e-09 0
2.03546e-08 -9.59208e-09 0
2.09438e-08 -1.03643e-08 0
2.15029e-08 -1.11586e-08 0
2.20313e-08 -1.19736e-08 0
2.25281e-08 -1.28083e-08 0
2.29925e-08 -1.36614e-08 0
2.3424e-08 -1.45316e-08 0
2.38218e-08 -1.54178e-08 0
2.41854e-08 -1.63185e-08 0
2.45142e-08 -1.72324e-08 0
2.48078e-08 -1.81583e-08 0
2.50658e-08 -1.90948e-08 0
2.52877e-08 -2.00404e-08 0
2.54733e-08 -2.09939e-08 0
2.56222e-08 -2.19537e-08 0
2.57342e-08 -2.29186e-08 0
2.58092e-08 -2.3887e-08 0
2.58471e-08 -2.48576e-08 0
2.58479e-08 -2.58289e-08 0
2.58114e-08 -2.67996e-08 0
2.57378e-08 -2.77681e-08 0
2.56271e-08 -2.87331e-08 0
2.54796e-08 -2.96932e-08 0
2.52955e-08 -3.06469e-08 0
2.5075e-08 -3.15929e-08 0
2.48184e-08 -3.25297e-08 0
2.45261e-08 -3.3456e-08 0
2.41986e-08 -3.43705e-08 0
2.38363e-08 -3.52717e-08 0
2.34398e-08 -3.61584e-08 0
